"filename", "language", "JavaScript", "XML", "JSON", "SQL", "Log", "YAML", "CSS", "Markdown", "Docker", "HTML", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/functions/validateRequest.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 7, 34
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/image/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 10, 9, 93
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 8
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/BeforeValidException.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/ExpiredException.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/JWT.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 120, 21, 342
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php-jwt/src/SignatureInvalidException.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/php_image_magician.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2363, 320, 612, 3295
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/Valitron/Validator.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 820, 596, 161, 1577
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ar.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/az.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/bg.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/de.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/el.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
