"filename", "language", "TypeScript", "JavaScript", "TypeScript React", "CSS", "XML", "JSON", "YAML", "SQL", "HTML", "Markdown", "Docker", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/pl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/pt-br.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ro.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ru.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 2, 40
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/sk.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/sl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 2, 43
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/sv.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/th.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/tr.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/uk.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/vi.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/zh-cn.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
