"filename", "language", "JavaScript", "JSON", "CSS", "SQL", "YAML", "Log", "XML", "Markdown", "HTML", "PHP", "Docker", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nb.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 0, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nn.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/no.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/pl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/pt-br.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 37
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ro.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ru.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 2, 40
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/sk.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/sl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 43
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/sv.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/th.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/tr.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/uk.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/vi.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/zh-cn.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/zh-tw.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/login/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 4, 10, 66
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/login/test.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 5, 14
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/marker/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 2, 10, 113
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 23, 41, 230
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/marker.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 11, 41, 274
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/popup_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 55, 59, 342
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/station.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 14, 64
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/user.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 8, 23, 85
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/carousel_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 13, 11, 103
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 2, 11, 115
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/save_order.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 6, 10, 72
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/update_image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 6, 10, 72
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/register/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 6, 7, 53
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/stations/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 3, 9, 67
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/test.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 5, 14
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/test3.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 7, 16
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/token/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 2, 9, 56
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/user/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 4, 45
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/user/test_user.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 4, 45
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/sql-v2.sql", "SQL", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 25, 17, 137
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/sql.sql", "SQL", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 28, 19, 169
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/App.js", "JavaScript", 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 376
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/Marker.css", "CSS", 0, 0, 905, 0, 0, 0, 0, 0, 0, 0, 0, 41, 114, 1060
